Track Name,Artist,Streams,Years,Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7,Genre8,Genre9,Genre10
Party (feat. Usher & Gucci Mane),Chris Brown,370341.0,2017.0,pop rap, dance pop, pop, rnb, rap,,,,,
Love$ick,Mura Masa,406654.0,2017.0,channel islands indie, vapor soul,,,,,,,,
Stronger,Kanye West,387631.0,2017.0,chicago rap, rap,,,,,,,,
Shape of You,Ed Sheeran,6151345.0,2017.0,uk pop, pop,,,,,,,,
Castle on the Hill,Ed Sheeran,5661820.0,2017.0,uk pop, pop,,,,,,,,
Dont Leave,Snakehips,791673.0,2017.0,tropical house, edm, electropop, pop, pop dance, indie poptimism, dance pop,,,
The A Team,Ed Sheeran,698045.0,2017.0,uk pop, pop,,,,,,,,
Say Something Loving,The xx,606017.0,2017.0,downtempo, indietronica, dream pop,,,,,,,
Move Your Body - Single Mix,Sia,550009.0,2017.0,pop, australian dance, australian pop, dance pop,,,,,,
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,537195.0,2017.0,uk pop, pop,,,,,,,,
Feel Me,Tyga,521824.0,2017.0,pop rap, rap, southern hip hop, trap, hip hop, dance pop,,,,
Give Me Love,Ed Sheeran,486976.0,2017.0,uk pop, pop,,,,,,,,
Rooting For You,London Grammar,475026.0,2017.0,nottingham indie, metropopolis,,,,,,,,
Tenerife Sea,Ed Sheeran,469838.0,2017.0,uk pop, pop,,,,,,,,
Moves,Big Sean,396301.0,2017.0,rap, pop rap, detroit hip hop, trap, southern hip hop, hip hop,,,,
Lay It All on Me (feat. Ed Sheeran),Rudimental,395444.0,2017.0,dance, uk funky, tropical house, pop dance, dance pop, house, pop, edm,,
Te Quiero PaÂ´Mi,Don Omar,365226.0,2017.0,puerto rican pop, latin, reggaeton, latin hip hop, trap latino,,,,,
Kiss Me,Ed Sheeran,361708.0,2017.0,uk pop, pop,,,,,,,,
You Dont Know Me - Radio Edit,Jax Jones,403063.0,2017.0,pop dance, dance, tropical house, dance pop, pop, house, edm, pop rap, post-teen pop, electro house
Lighthouse - Andrelli Remix,Hearts & Colors,669591.0,2017.0,Sorry," ""that one doesnt seem to be on any of these maps yet.""",,,,,,,,
Oceans Away,A R I Z O N A,426201.0,2017.0,indie poptimism, tropical house, electropop, pop dance, pop, pop edm,,,,
Paris,The Chainsmokers,2549503.0,2017.0,pop, pop dance, tropical house, edm, electropop, dance pop,,,,
Dangerous,The xx,884715.0,2017.0,downtempo, indietronica, dream pop,,,,,,,
On Hold,The xx,786966.0,2017.0,downtempo, indietronica, dream pop,,,,,,,
Not Afraid Anymore,Halsey,656039.0,2017.0,pop, etherpop, post-teen pop, electropop, dance pop, indie poptimism,,,,
On My Way,TiÃ«sto,645023.0,2017.0,slap house, dutch edm, brostep, big room, pop dance, edm, tropical house, trance, house, dance pop
I Dare You,The xx,635345.0,2017.0,downtempo, indietronica, dream pop,,,,,,,
Lips,The xx,619450.0,2017.0,downtempo, indietronica, dream pop,,,,,,,
A Violent Noise,The xx,609374.0,2017.0,downtempo, indietronica, dream pop,,,,,,,
Replica,The xx,567996.0,2017.0,downtempo, indietronica, dream pop,,,,,,,
